time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.000726	1	0	1.5	0	3.49361e-05	3.60238	5.60354	-2.03495	4.15061	3.93275	-1.01679	0.717404	0.874647	0.128167	0.313696	0.5	
0.2	0.000489	1	0	1.5	0.294648	0.000129554	3.60238	5.60354	-2.03495	4.19392	4.02585	-1.0224	0.716962	0.880174	0.152271	0.365972	0.5	
0.3	0.000611	1	0	1.5	0.294648	1.88146e-05	3.60238	5.60354	-2.03495	4.05997	3.98632	0.556418	0.878547	0.716603	-0.00944622	0.272992	-7.52585e-05	
0.4	0.000616	1	0	1.5	0.294648	0.00971988	3.60238	5.60354	-2.03495	4.11733	4.00302	0.55678	0.878542	0.716202	0.0336318	0.271754	-0.0388795	
0.5	0.001441	1	0	1.5	0.294648	0.0145626	3.60238	5.60354	-2.03495	4.06024	3.80803	0.631239	0.878459	0.719736	-0.0318808	0.0309142	-0.0582503	
0.6	0.001622	1	0	1.5	0.294648	0.00120129	3.60238	5.60354	-2.03495	4.0169	3.86045	0.678583	0.878281	0.750286	-0.0557099	0.0590355	-0.00480518	
0.7	0.000442	1	0	1.5	0.294648	0.00615903	3.60238	5.60354	-2.03495	4.17183	4.00048	2.15598	0.750126	0.880792	0.113805	0.196904	0.5	
0.8	0.001707	1	0	1.5	0.294648	0.00139134	3.60238	5.60354	-2.03495	4.01785	3.83099	-2.46807	0.852198	0.750225	0.00262187	0.067122	-0.00556536	
0.9	0.001645	1	0	1.5	0.294648	0.000966176	3.60238	5.60354	-2.03495	4.00225	3.83448	-2.43969	0.852101	0.797658	0.00149727	0.0420213	-0.0038647	
1	0.000645	1	0	1.5	0.294648	0.0145904	3.60238	5.60354	-2.03495	4.02191	3.9505	-0.879272	0.779426	0.852006	0.020371	0.12082	-0.0583617	
1.1	0.000652	1	0	1.5	0.294648	0.00185787	3.60238	5.60354	-2.03495	4.06942	4.01326	-0.960439	0.779362	0.857381	0.0652728	0.168064	-0.00743147	
1.2	0.000637	1	0	1.5	0.294648	0.00493277	3.60238	5.60354	-2.03495	4.06882	4.03512	-0.899255	0.818971	0.857317	0.0700194	0.163925	-0.0197311	
1.3	0.0007	1	0	1.5	0.294648	0.000676885	3.60238	5.60354	-2.03495	4.06954	4.01281	-1.01052	0.818856	0.890952	0.0747347	0.128581	-0.00270754	
1.4	0.001791	1	0	1.5	0.294648	4.43963e-05	3.60238	5.60354	-2.03495	4.04168	3.98224	-0.822057	0.913635	0.890741	0.0689091	0.0696206	-0.000177585	
1.5	0.00026	1	0	1.5	0.294648	0.00115888	3.60238	5.60354	-2.03495	4.09762	3.79267	-0.701789	0.913633	0.89045	0.11818	-0.139443	0.5	
1.6	0.000451	1	0	1.5	0.294648	0.000737995	3.60238	5.60354	-2.03495	4.02404	3.95158	-0.550826	1.13482	0.889405	0.121227	-0.0667056	0.5	
1.7	0.001652	1	0	1.5	0.294648	0.000251272	3.60238	5.60354	-2.03495	3.95984	4.04949	-0.747735	1.24446	0.888372	0.0870696	0.0177824	-0.00100509	
1.8	0.000263	1	0	1.5	0.294648	0.0115641	3.60238	5.60354	-2.03495	4.04528	3.79457	-0.655938	1.24412	0.887572	0.146248	-0.171877	0.5	
1.9	0.00027	1	0	1.5	0.294648	0.0235542	3.60238	5.60354	-2.03495	3.91726	3.88544	-0.769214	0.863885	0.887008	0.150841	-0.172595	0.5	
2	0.00025	1	0	1.5	0.294648	0.00509337	3.60238	5.60354	-2.03495	4.05385	4.08511	-0.971729	0.863667	0.864877	0.23898	-0.0216068	0.5	
2.1	0.000255	1	0	1.5	0.294648	0.0137736	3.60238	5.60354	-2.03495	4.19818	3.5568	-1.63469	0.864563	0.725704	0.418227	-0.533182	0.5	
2.2	0.000255	1	0	1.5	0.294648	0.025396	3.60238	5.60354	-2.03495	4.23905	3.42778	-1.77764	0.864634	0.712553	0.423019	-0.601901	0.5	
2.3	0.000252	1	0	1.5	0.294648	0.0362102	3.60238	5.60354	-2.03495	4.25772	3.3914	-1.8274	0.843413	0.706526	0.383942	-0.544154	0.5	
2.4	0.000247	1	0	1.5	0.294648	0.0488055	3.60238	5.60354	-2.03495	4.25287	3.37988	-1.82509	0.860148	0.705689	0.36355	-0.519958	0.5	
2.5	0.000253	1	0	1.5	0.294648	0.0630775	3.60238	5.60354	-2.03495	4.25338	3.37417	-1.83461	0.871686	0.697956	0.314774	-0.460182	0.5	
2.6	0.00028	1	0	1.5	0.294648	0.0742815	3.60238	5.60354	-2.03495	4.24741	3.3823	-1.82451	0.874857	0.69327	0.296084	-0.433054	0.5	
2.7	0.000292	1	0	1.5	0.294648	0.0978236	3.60238	5.60354	-2.03495	4.25225	3.38595	-1.83057	0.86156	0.69523	0.258196	-0.375305	0.5	
2.8	0.000263	1	0	1.5	0.294648	0.104468	3.63042	5.54747	-1.99792	4.23882	3.367	-1.8216	0.894444	0.687754	0.241756	-0.360026	0.5	
2.9	0.00027	1	0	1.5	0.195746	0.10497	3.63042	5.54747	-1.99792	4.24497	3.33827	-1.82622	0.927408	0.679199	0.215553	-0.321889	0.5	
