time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.00075	1	0	1.5	0	1.52419e-05	4.26049	6.25678	-1.81294	4.43801	3.79418	1.3291	0.736197	0.650017	0.00098412	0.000286854	0.5	
0.2	0.000641	1	0	1.5	-0.24652	5.06692e-05	4.26049	6.25678	-1.81294	4.4377	3.79752	1.33057	0.734991	0.646799	0.00175871	0.00202438	0.5	
0.3	0.000543	1	0	1.5	-0.24652	3.32494e-05	4.26049	6.25678	-1.81294	4.43827	3.79662	1.32932	0.734899	0.648315	0.00132832	0.00093766	0.5	
0.4	0.000549	1	0	1.5	-0.24652	0.0296109	4.26049	6.25678	-1.81294	4.43892	3.79379	1.32915	0.734404	0.65195	0.000379416	-0.00108167	0.5	
0.5	0.000621	1	0	1.5	-0.24652	0.0341093	4.26049	6.25678	-1.81294	4.43658	3.79529	1.33031	0.733331	0.646848	0.000334971	-0.000548523	0.5	
0.6	0.00056	1	0	1.5	-0.24652	0.0371097	4.26049	6.25678	-1.81294	4.43356	3.79794	1.32936	0.732619	0.640227	0.00039983	0.000596482	0.5	
0.7	0.000571	1	0	1.5	-0.24652	0.0377208	4.26049	6.25678	-1.81294	4.43472	3.798	1.32992	0.732379	0.636089	-0.000581822	0.000969594	0.5	
0.8	0.000626	1	0	1.5	-0.24652	0.0457038	4.26049	6.25678	-1.81294	4.43239	3.79157	1.33166	0.735511	0.633364	-0.00102351	-0.00296181	0.5	
0.9	0.000644	1	0	1.5	-0.24652	0.0490857	4.26049	6.25678	-1.81294	4.42274	3.77907	1.32951	0.771117	0.619754	0.000354199	0.000807201	0.5	
1	0.000549	1	0	1.48876	-0.250031	0.0542941	4.26049	6.25678	-1.81294	4.41846	3.78087	1.32869	0.771101	0.612173	-0.000105682	0.00142069	0.5	
1.1	0.000522	1	0	1.48419	-0.251455	0.0612742	4.26049	6.25678	-1.81294	4.41292	3.77837	1.33122	0.782533	0.602901	0.000251239	0.00325864	0.5	
1.2	0.000595	1	0	1.47366	-0.254732	0.0568904	4.26049	6.25678	-1.81294	4.42119	3.77805	1.33255	0.782492	0.6061	0.00523361	0.0031287	0.5	
1.3	0.000599	1	0	1.48181	-0.252197	0.0665655	4.26049	6.25678	-1.81294	4.4159	3.7755	1.33233	0.790396	0.596224	0.00496493	0.00282586	0.5	
1.4	0.000634	1	0	1.47331	-0.254844	0.0760183	4.26049	6.25678	-1.81294	4.41348	3.7761	1.33309	0.790336	0.590741	0.00489249	0.00262564	0.5	
1.5	0.000496	1	0	1.47084	-0.25561	0.092598	4.27207	6.20913	-1.81726	4.41561	3.7721	1.33389	0.790259	0.597153	0.00316643	-0.00118743	0.5	
1.6	0.000595	1	0	1.47389	-0.264234	0.0967115	4.27207	6.20913	-1.81726	4.42436	3.77211	1.33202	0.790144	0.577559	0.00242632	0.000542446	0.5	
1.7	0.000541	1	0	1.48245	-0.261588	0.0977071	4.27207	6.20913	-1.81726	4.43859	3.76146	1.33527	0.802243	0.548051	0.00347209	-0.000888719	0.5	
1.8	0.000649	1	0	1.49272	-0.258409	0.1233	4.27207	6.20913	-1.81726	4.43332	3.75334	1.33089	0.821781	0.541968	0.00327754	-0.000342346	0.5	
1.9	0.000619	1	0	1.47973	-0.262429	0.127803	4.27207	6.20913	-1.81726	4.43482	3.75248	1.33143	0.82176	0.541833	0.00431652	-0.00119567	0.5	
2	0.000672	1	0	1.4814	-0.261914	0.128023	4.27207	6.20913	-1.81726	4.42909	3.75903	1.33215	0.821717	0.529687	0.00423087	0.00262723	0.5	
2.1	0.000558	1	0	1.47432	-0.264101	0.143927	4.20321	6.13267	-1.85497	4.43225	3.75921	1.33089	0.821694	0.524592	0.00435135	0.00306195	0.5	
2.2	0.000555	1	0	1.47736	-0.19487	0.157998	4.20321	6.13267	-1.85497	4.42526	3.76203	1.33172	0.821657	0.540379	0.00464322	0.00362597	0.5	
2.3	0.000604	1	0	1.46992	-0.197204	0.163809	4.20321	6.13267	-1.85497	4.43341	3.76945	1.33032	0.821531	0.562239	0.00140958	0.013698	0.5	
2.4	0.000634	1	0	1.47617	-0.195242	0.182027	4.20321	6.13267	-1.85497	4.43067	3.77241	1.33285	0.821396	0.565097	0.000350761	0.01502	0.5	
2.5	0.000592	1	0	1.47289	-0.196273	0.197023	4.20321	6.13267	-1.85497	4.42788	3.77194	1.33375	0.821237	0.559636	0.000177292	0.0118323	0.5	
2.6	0.00057	1	0	1.47037	-0.197065	0.201958	4.20321	6.13267	-1.85497	4.41173	3.73109	1.33287	0.851879	0.545622	-0.00408629	-0.00920381	0.5	
2.7	0.000652	1	0	1.44889	-0.203789	0.226633	4.20321	6.13267	-1.85497	4.41062	3.71723	1.33165	0.860472	0.541729	-0.00560741	-0.017624	0.5	
2.8	0.00059	1	0	1.44676	-0.204457	0.238873	4.12449	6.02846	-1.88633	4.40557	3.71518	1.33363	0.869009	0.534078	-0.00557413	-0.0158721	0.5	
2.9	0.000657	1	0	1.43805	-0.142983	0.245779	4.12449	6.02846	-1.88633	4.39822	3.71063	1.33555	0.87431	0.527039	-0.0082681	-0.0165849	0.5	
3	0.000646	1	0	1.42932	-0.145751	0.292256	4.12449	6.02846	-1.88633	4.39307	3.70635	1.33342	0.879432	0.536775	-0.0077261	-0.0179379	0.5	
3.1	0.000881	1	0	1.42275	-0.147829	0.297406	4.12449	6.02846	-1.88633	4.39091	3.70156	1.33295	0.897642	0.536183	-0.0063574	-0.0112274	0.5	
3.2	0.000828	1	0	1.41267	-0.151017	0.300054	4.12449	6.02846	-1.88633	4.38383	3.69629	1.33431	0.905387	0.520651	-0.00500582	-0.0131508	0.5	
3.3	0.000775	1	0	1.40315	-0.154023	0.319957	4.06607	5.95684	-1.92397	4.37876	3.68325	1.33488	0.916781	0.514216	-0.00494826	-0.0199821	0.5	
3.4	0.000817	1	0	1.39557	-0.0933845	0.361973	4.06607	5.95684	-1.92397	4.39876	3.70498	1.33194	0.939705	0.532295	0.00160916	-0.0096063	0.5	
3.5	0.000698	1	0	1.39847	-0.0924584	0.36845	4.06607	5.95684	-1.92397	4.39115	3.68744	1.33241	0.96067	0.53226	-0.0039803	-0.0159838	0.5	
3.6	0.000714	1	0	1.38469	-0.0968496	0.391515	3.99397	5.84105	-1.94928	4.39001	3.70277	1.33343	0.971012	0.523533	-0.00239388	-0.00831579	0.5	
3.7	0.000725	1	0	1.37482	-0.0447384	0.42243	3.99397	5.84105	-1.94928	4.39	3.68931	1.33606	0.983833	0.51228	-0.00623253	-0.0133635	0.5	
3.8	0.0008	1	0	1.37155	-0.0465238	0.428006	3.99397	5.84105	-1.94928	4.39616	3.69838	1.33584	0.99076	0.520139	-0.0047892	-0.00779683	0.5	
3.9	0.000881	1	0	1.37195	-0.0463022	0.459308	3.99397	5.84105	-1.94928	4.38968	3.69801	1.33815	1.02182	0.504931	0.00065114	0.00695136	0.5	
4	0.000794	1	0	1.35021	-0.0550554	0.485939	3.90601	5.72015	-1.95474	4.38111	3.68195	1.33834	1.07738	0.499167	0.00108259	0.0142389	0.5	
4.1	0.000752	1	0	1.31786	-0.0213645	0.521834	3.90601	5.72015	-1.95474	4.36534	3.64051	1.33846	1.17286	0.48478	0.00324539	0.015787	0.5	
4.2	0.000826	1	0	1.26447	-0.0403573	0.513654	3.90601	5.72015	-1.95474	4.36865	3.65116	1.33861	1.19339	0.482049	0.00279858	0.0157327	0.5	
4.3	0.000678	1	0	1.25493	-0.043425	0.541992	3.85064	5.65133	-1.96333	4.35965	3.64595	1.34365	1.20129	0.467729	0.0012253	0.0103704	0.5	
4.4	0.000666	1	0	1.24344	-0.0141949	0.585881	3.85064	5.65133	-1.96333	4.36193	3.66987	1.34032	1.19272	0.461829	0.00428658	0.0240448	0.5	
4.5	0.000697	1	0	1.24436	-0.0138979	0.622376	3.85064	5.65133	-1.96333	4.36787	3.70072	1.34116	1.2029	0.464692	0.0101668	0.0475353	0.5	
4.6	0.000698	1	0	1.23783	-0.0160114	0.643174	3.78764	5.55071	-1.97522	4.36415	3.71442	1.33924	1.21166	0.449206	0.011765	0.0508679	0.5	
4.7	0.000676	1	0	1.22664	0.0167508	0.675383	3.78764	5.55071	-1.97522	4.3707	3.72573	1.33847	1.21091	0.455248	0.0138205	0.0559653	0.5	
4.8	0.000741	1	0	1.23074	0.018087	0.693207	3.73619	5.46877	-1.98425	4.37461	3.75173	1.33779	1.20856	0.456201	0.0161696	0.0715071	0.5	
4.9	0.000633	1	0	1.22963	0.0469289	0.682196	3.73619	5.46877	-1.98425	4.36545	3.7637	1.34079	1.22086	0.431637	0.0153519	0.0647964	0.5	
5	0.000699	1	0	1.22963	0.0469289	0.748431	3.66843	5.32947	-1.98392	4.36964	3.78858	1.33784	1.22108	0.428652	0.0187533	0.0797001	0.5	
5.1	0.000671	1	0	1.22963	0.0684973	0.750047	3.66843	5.32947	-1.98392	4.3703	3.77886	1.33961	1.2279	0.428629	0.0176555	0.0617843	0.5	
5.2	0.00083	1	0	1.22963	0.0684973	0.794274	3.5972	5.18642	-1.98574	4.3716	3.77741	1.34028	1.22965	0.428599	0.0179099	0.0582821	0.5	
5.3	0.000649	1	0	1.22963	0.093972	0.811769	3.5972	5.18642	-1.98574	4.37384	3.77212	1.33735	1.23675	0.428472	0.0186641	0.0481831	0.5	
5.4	0.0008	1	0	1.22963	0.093972	0.822717	3.52938	5.02551	-1.98172	4.37243	3.7795	1.35151	1.22571	0.4284	0.015737	0.0472369	0.461132	
