time	tictoc	state	task counter	tube width	phi des	v ropod odom	v ropod cmd	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.001189	1	0	1.5	0	0	0.1	3.33301	3.90485	-1.80403	0	0	0	0	0	0	0	1	
0.2	0.000791	2	0	1.5	0	0.1	0.2	3.33713	3.90323	-1.79984	0	0	0	0	0	0	0	1	
0.3	0.000729	2	0	1.5	0	0.2	0.3	3.32313	3.89803	-1.8117	0	0	0	0	0	0	0	1	
0.4	0.00068	2	0	1.5	0	0.3	0.335	3.31226	3.87496	-1.81647	0	0	0	0	0	0	0	0.35	
0.5	0.000703	2	0	1.5	0	0.335	0.335	3.30486	3.8439	-1.81611	0	0	0	0	0	0	0	0	
0.6	0.000672	2	0	1.5	0	0.335	0.335	3.29414	3.81215	-1.81863	0	0	0	0	0	0	0	0	
0.7	0.000778	2	0	1.5	0	0.335	0.335	3.28477	3.77999	-1.81975	0	0	0	0	0	0	0	0	
0.8	0.000772	2	0	1.5	0	0.335	0.335	3.2754	3.74783	-1.82084	0	0	0	0	0	0	0	0	
0.9	0.000805	2	0	1.5	0	0.335	0.335	3.26676	3.71546	-1.82118	0	0	0	0	0	0	0	0	
1	0.000882	2	0	1.5	0	0.335	0.335	3.25793	3.68314	-1.8217	0	0	0	0	0	0	0	0	
1.1	0.000799	2	0	1.5	0	0.335	0.335	3.18327	3.90254	-1.81259	0	0	0	0	0	0	0	0	
1.2	0.00077	2	0	1.5	0.00965247	0.335	0.335	3.17523	3.87002	-1.81261	0	0	0	0	0	0	0	0	
1.3	0.000803	2	0	1.5	0.00976516	0.335	0.335	3.16722	3.8375	-1.8126	0	0	0	0	0	0	0	0	
1.4	0.000824	2	0	1.5	0.0098495	0.335	0.335	3.1592	3.80497	-1.81259	0	0	0	0	0	0	0	0	
1.5	0.000892	2	0	1.5	0.00993502	0.335	0.335	3.15141	3.77239	-1.81237	0	0	0	0	0	0	0	0	
1.6	0.000813	2	0	1.5	0.00981448	0.335	0.335	3.11204	3.85123	-1.8283	0	0	0	0	0	0	0	0	
1.7	0.000858	2	0	1.5	0.0626393	0.335	0.335	3.1044	3.81862	-1.82743	0	0	0	0	0	0	0	0	
1.8	0.000795	2	0	1.5	0.0615785	0.335	0.335	3.09674	3.78601	-1.82662	0	0	0	0	0	0	0	0	
