time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.000909	1	0	1.5	0	3.93443e-05	3.7387	5.48277	-2.00001	4.30358	3.32763	1.33974	1.20351	0.534044	-0.00118336	-0.00250805	0.5	
0.2	0.000796	1	0	1.26224	0.0739395	1.5784e-05	3.7387	5.48277	-2.00001	4.3069	3.32724	1.33913	1.20264	0.536309	0.000439804	-0.00279243	0.5	
0.3	0.000751	1	0	1.26599	0.0751726	0.00810032	3.7387	5.48277	-2.00001	4.30529	3.32973	1.33859	1.20575	0.531471	0.000783599	-0.00196844	0.5	
0.4	0.000824	1	0	1.26229	0.0739559	0.0178539	3.7387	5.48277	-2.00001	4.30337	3.32525	1.33995	1.20984	0.530697	-5.18934e-05	-0.0037814	0.5	
0.5	0.000743	1	0	1.25942	0.0730141	0.0171499	3.7387	5.48277	-2.00001	4.30335	3.32707	1.34149	1.21023	0.530279	0.000106718	-0.00158408	0.5	
0.6	0.000788	1	0	1.25878	0.0728056	0.018857	3.7387	5.48277	-2.00001	4.30265	3.32674	1.3405	1.21136	0.52825	0.000411352	-0.00151096	0.5	
0.7	0.000671	1	0	1.25762	0.0724218	0.0259089	3.7387	5.48277	-2.00001	4.30523	3.32946	1.34131	1.20417	0.530365	0.0011201	-0.00187187	0.5	
0.8	0.00081	1	0	1.26308	0.0742179	0.026745	3.7387	5.48277	-2.00001	4.30491	3.33335	1.33883	1.19961	0.530072	0.000546794	-0.000568339	0.5	
0.9	0.000755	1	0	1.26414	0.0745653	0.0251744	3.7387	5.48277	-2.00001	4.30293	3.33047	1.3408	1.20605	0.526947	0.000762945	-0.000596558	0.5	
1	0.000727	1	0	1.25967	0.0730953	0.0277754	3.7387	5.48277	-2.00001	4.30441	3.32672	1.33994	1.19942	0.53059	0.00106932	-0.000646648	0.5	
1.1	0.000785	1	0	1.2653	0.074946	0.0279889	3.7387	5.48277	-2.00001	4.30892	3.33277	1.33896	1.18968	0.541143	-0.000909444	0.00208657	0.5	
1.2	0.000711	1	0	1.27314	0.0775232	0.0360496	3.7387	5.48277	-2.00001	4.30346	3.32845	1.33926	1.19944	0.536802	-0.0025107	0.0019287	0.5	
1.3	0.00064	1	0	1.26397	0.0745084	0.0430848	3.7387	5.48277	-2.00001	4.30925	3.33337	1.33996	1.19189	0.541838	0.000436707	0.00357733	0.5	
1.4	0.000794	1	0	1.27222	0.07722	0.0494216	3.7387	5.48277	-2.00001	4.31172	3.33463	1.34066	1.18896	0.543065	0.00156184	0.00338448	0.5	
1.5	0.00087	1	0	1.27579	0.0783962	0.0547329	3.7387	5.48277	-2.00001	4.30627	3.3305	1.34077	1.19819	0.531791	0.00248366	0.00193992	0.5	
1.6	0.000826	1	0	1.26684	0.0754542	0.0679537	3.67701	5.47392	-1.96881	4.30382	3.34077	1.34049	1.1838	0.542349	0.00313597	0.0033721	0.5	
1.7	0.000761	1	0	1.26925	0.0832747	0.0743421	3.67701	5.47392	-1.96881	4.3073	3.33343	1.34266	1.19408	0.528276	0.000387189	0.00214265	0.5	
1.8	0.000807	1	0	1.26921	0.0832602	0.100951	3.67701	5.47392	-1.96881	4.29282	3.33892	1.34261	1.19996	0.542358	-0.0057711	0.00280365	0.5	
1.9	0.000766	1	0	1.25091	0.0772026	0.0976705	3.67701	5.47392	-1.96881	4.28421	3.35435	1.34025	1.19257	0.565847	-0.00285668	0.0120655	0.5	
2	0.000866	1	0	1.24263	0.074462	0.109105	3.67701	5.47392	-1.96881	4.2784	3.35273	1.34189	1.19864	0.565875	-0.00649959	0.0124557	0.5	
2.1	0.000778	1	0	1.23432	0.0717151	0.124963	3.67701	5.47392	-1.96881	4.27707	3.3557	1.34036	1.19732	0.56648	-0.00683755	0.0130946	0.5	
2.2	0.000755	1	0	1.23299	0.0712739	0.135064	3.67701	5.47392	-1.96881	4.27868	3.35793	1.34281	1.19287	0.568236	-0.00631141	0.0126342	0.5	
2.3	0.000775	1	0	1.23626	0.0723554	0.148974	3.67701	5.47392	-1.96881	4.28814	3.36607	1.34167	1.17216	0.58814	-0.00812934	0.0111898	0.5	
2.4	0.00074	1	0	1.25391	0.0781947	0.156076	3.67701	5.47392	-1.96881	4.27295	3.36052	1.34127	1.1875	0.56715	-0.0101203	0.0102914	0.5	
2.5	0.000757	1	0	1.23277	0.0712008	0.185868	3.62068	5.44966	-1.96341	4.26413	3.35595	1.34222	1.20529	0.547541	-0.00580147	0.0108077	0.5	
2.6	0.000755	1	0	1.23277	0.0983503	0.218002	3.62068	5.44966	-1.96341	4.26851	3.36079	1.34134	1.20911	0.54741	-0.00263651	0.0124949	0.5	
2.7	0.000679	1	0	1.23277	0.0983503	0.216195	3.62068	5.44966	-1.96341	4.25259	3.40754	1.34153	1.20477	0.596245	0.00549593	0.0519242	0.5	
2.8	0.000779	1	0	1.23277	0.0983503	0.238497	3.62068	5.44966	-1.96341	4.25804	3.41382	1.34245	1.21437	0.604554	0.00545465	0.0512482	0.5	
2.9	0.000776	1	0	1.23277	0.0983503	0.265498	3.62068	5.44966	-1.96341	4.26961	3.42422	1.34161	1.19999	0.621328	0.00656079	0.049658	0.5	
3	0.000753	1	0	1.23277	0.0983503	0.28889	3.62068	5.44966	-1.96341	4.26609	3.43237	1.34283	1.19852	0.612899	0.00654522	0.05201	0.5	
3.1	0.000773	1	0	1.23277	0.0983503	0.303939	3.58499	5.38444	-1.93522	4.26749	3.42803	1.34297	1.21017	0.610629	0.00732376	0.0463895	0.5	
3.2	0.000802	1	0	1.23277	0.0830972	0.346846	3.58499	5.38444	-1.93522	4.26659	3.44289	1.34204	1.19071	0.616031	0.00661527	0.0476331	0.5	
3.3	0.000712	1	0	1.23277	0.0830972	0.37057	3.58499	5.38444	-1.93522	4.26137	3.47891	1.34276	1.21055	0.597005	0.00757606	0.0663929	0.5	
3.4	0.000761	1	0	1.23277	0.0830972	0.394826	3.58499	5.38444	-1.93522	4.2614	3.49381	1.34326	1.2181	0.589208	0.009409	0.0707803	0.5	
3.5	0.000818	1	0	1.23277	0.0830972	0.409621	3.55714	5.29494	-1.93216	4.25746	3.49815	1.34391	1.21448	0.580467	0.00799625	0.0625362	0.5	
