time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.000787	1	0	1.5	0	3.64393e-05	4.31424	5.7257	-1.68961	4.42591	3.54793	1.33337	0.944474	0.596488	-0.00434502	-0.0114974	0.5	
0.2	0.000577	1	0	1.45919	-0.392699	5.34366e-05	4.31424	5.7257	-1.68961	4.42883	3.55254	1.33167	0.943665	0.597594	-0.00132613	-0.00531122	0.5	
0.3	0.000562	1	0	1.46136	-0.487887	2.04632e-05	4.31424	5.7257	-1.68961	4.42721	3.55209	1.33347	0.94346	0.594745	-0.0014533	-0.00570991	0.5	
0.4	0.000595	1	0	1.45999	-0.488283	0.0479222	4.31424	5.7257	-1.68961	4.43042	3.55025	1.33385	0.94233	0.601858	-0.00164426	-0.00653964	0.5	
0.5	0.000596	1	0	1.46411	-0.487089	0.0443559	4.31424	5.7257	-1.68961	4.42726	3.54945	1.33329	0.942036	0.597244	-0.00227201	-0.00731532	0.5	
0.6	0.000791	1	0	1.46137	-0.487884	0.0397071	4.31424	5.7257	-1.68961	4.40603	3.44966	1.33108	1.15132	0.600938	-0.000273989	-0.0038302	0.5	
0.7	0.000742	1	0	1.35942	-0.517063	0.0581692	4.31424	5.7257	-1.68961	4.39794	3.43765	1.33222	1.17298	0.591405	-0.000925272	-0.00559252	0.5	
0.8	0.000732	1	0	1.34353	-0.521549	0.070907	4.31424	5.7257	-1.68961	4.40532	3.43735	1.33438	1.17274	0.602401	0.00131642	-0.0038833	0.5	
0.9	0.000783	1	0	1.35089	-0.519472	0.0917191	4.31424	5.7257	-1.68961	4.40786	3.43632	1.33497	1.17233	0.606488	0.00162972	-0.00424565	0.5	
1	0.000703	1	0	1.35381	-0.518648	0.141499	4.32592	5.72528	-1.70134	4.40461	3.44236	1.33354	1.17173	0.598876	0.00179633	0.0014408	0.5	
1.1	0.000832	1	0	1.34953	-0.514565	0.135228	4.32592	5.72528	-1.70134	4.40604	3.44448	1.33285	1.17101	0.598073	0.00241762	0.00275503	0.5	
1.2	0.00081	1	0	1.35079	-0.514213	0.0840949	4.32592	5.72528	-1.70134	4.41751	3.45908	1.33238	1.17101	0.593363	0.0117414	0.0183177	0.5	
1.3	0.000708	1	0	1.35853	-0.512038	0.107973	4.32592	5.72528	-1.70134	4.41897	3.46018	1.33026	1.17312	0.592514	0.0117525	0.0175456	0.5	
