time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.000974	1	0	1.5	0	2.95749e-05	4.15327	6.64033	-1.83925	4.38711	4.10814	1.31661	0.381585	0.780248	0.00807839	-0.00321525	0.5	
0.2	0.000796	1	0	1.37262	-0.137272	4.16794e-05	4.15327	6.64033	-1.83925	4.38549	4.11138	1.3223	0.381453	0.77838	0.00712923	-0.000867826	0.5	
0.3	0.000706	1	0	1.37122	-0.137725	1.84905e-05	4.15327	6.64033	-1.83925	4.38086	4.11346	1.32303	0.381436	0.775157	0.00291046	0.00100258	0.5	
0.4	0.000657	1	0	1.36785	-0.138818	0.0381311	4.15327	6.64033	-1.83925	4.38158	4.11391	1.31448	0.381361	0.774128	0.00292874	0.00136052	0.5	
0.5	0.00076	1	0	1.36896	-0.138457	0.0594895	4.15327	6.64033	-1.83925	4.34489	4.12085	1.34986	0.380384	0.706887	-0.00200236	-0.00104168	0.5	
0.6	0.000801	1	0	1.36529	-0.139646	0.0809692	4.15327	6.64033	-1.83925	4.37523	4.11511	1.35132	0.379687	0.769251	-0.00203728	-0.000468671	0.5	
0.7	0.000813	1	0	1.36494	-0.139759	0.0923032	4.15327	6.64033	-1.83925	4.37965	4.06535	1.35202	0.483409	0.790393	0.00371303	0.00291942	0.5	
0.8	0.000829	1	0	1.37031	-0.138023	0.0894065	4.15327	6.64033	-1.83925	4.37498	4.06434	1.34781	0.483038	0.789552	0.000336418	0.00182195	0.5	
0.9	0.000826	1	0	1.36642	-0.13928	0.0906535	4.15327	6.64033	-1.83925	4.38486	4.06699	1.34433	0.483026	0.802061	0.00426331	0.00578693	0.5	
1	0.000833	1	0	1.36915	-0.138396	0.113299	4.15327	6.64033	-1.83925	4.38288	4.06611	1.3459	0.482482	0.799441	0.00348919	0.0044346	0.5	
1.1	0.000775	1	0	1.36875	-0.138528	0.133069	4.15327	6.64033	-1.83925	4.37918	4.07125	1.33879	0.483312	0.796371	0.000582288	0.0084352	0.5	
1.2	0.000765	1	0	1.36548	-0.139585	0.178634	4.16599	6.59217	-1.8339	4.37325	4.05793	1.34809	0.503671	0.790917	-0.00014328	0.00501955	0.5	
1.3	0.000766	1	0	1.36555	-0.160152	0.215083	4.16599	6.59217	-1.8339	4.39232	4.06022	1.34172	0.512294	0.790637	0.0187973	0.00232792	0.5	
1.4	0.000768	1	0	1.3837	-0.154306	0.262272	4.16599	6.59217	-1.8339	4.41624	4.05248	1.33891	0.521214	0.797185	0.0340067	0.000245068	0.5	
1.5	0.000732	1	0	1.40549	-0.147271	0.296852	4.16599	6.59217	-1.8339	4.42553	4.04942	1.3396	0.541169	0.792283	0.0389153	0.00776382	0.5	
1.6	0.000572	1	0	1.41769	-0.143324	0.332765	4.16599	6.59217	-1.8339	4.42774	4.0492	1.34229	0.541482	0.790526	0.0379719	0.00725461	0.5	
1.7	0.000608	1	0	1.42077	-0.142327	0.358657	4.09737	6.49586	-1.84257	4.43333	4.05689	1.34356	0.541457	0.792206	0.0376622	0.0145037	0.5	
1.8	0.000628	1	0	1.42357	-0.0933434	0.418162	4.09737	6.49586	-1.84257	4.43378	4.04901	1.34302	0.550537	0.792324	0.0368482	0.01123	0.5	
1.9	0.000664	1	0	1.42579	-0.0915456	0.453772	4.09737	6.49586	-1.84257	4.41738	4.0504	1.33848	0.605683	0.79292	0.0212698	0.0393079	0.5	
2	0.00075	1	0	1.40922	-0.105348	0.516149	4.09737	6.49586	-1.84257	4.41644	4.03294	1.337	0.626041	0.798024	0.0194214	0.0321912	0.5	
2.1	0.000791	1	0	1.40984	-0.104814	0.533745	4.01094	6.35201	-1.86621	4.40514	4.01216	1.33501	0.687045	0.78463	0.0190966	0.0353796	0.5	
2.2	0.000773	1	0	1.41041	-0.0315701	0.588965	4.01094	6.35201	-1.86621	4.39475	3.98132	1.33853	0.755556	0.774854	0.0199077	0.0346104	0.5	
2.3	0.000589	1	0	1.41239	-0.0306633	0.629488	4.01094	6.35201	-1.86621	4.3866	3.98629	1.33881	0.763015	0.766578	0.0119075	0.0301849	0.5	
2.4	0.000877	1	0	1.40745	-0.032942	0.668208	3.95342	6.23503	-1.88149	4.37686	3.97952	1.33977	0.791523	0.754753	0.0107914	0.0329529	0.5	
2.5	0.000749	1	0	1.38709	-0.0131031	0.744283	3.95342	6.23503	-1.88149	4.3797	3.96737	1.33972	0.863547	0.757131	0.0197121	0.0527008	0.5	
2.6	0.000727	1	0	1.35667	-0.0236766	0.768797	3.88492	6.10398	-1.89567	4.36981	3.95598	1.33892	0.91069	0.743422	0.0203586	0.0575004	0.5	
2.7	0.000686	1	0	1.32615	-0.00429471	0.797135	3.88492	6.10398	-1.89567	4.35979	3.94175	1.33996	0.92676	0.728798	0.0163718	0.040855	0.5	
2.8	0.00076	1	0	1.3117	-0.00796177	0.86439	3.83425	5.99903	-1.90279	4.34766	3.92369	1.34184	1.01793	0.71053	0.0208971	0.0568156	0.29444	
2.9	0.000713	1	0	1.25854	-0.00620064	0.894651	3.83425	5.99903	-1.90279	4.34689	3.92508	1.34272	1.08272	0.707585	0.0263841	0.0830867	0.173397	
3	0.000732	1	0	1.22507	-0.0172278	0.936403	3.79022	5.91255	-1.91405	4.33283	3.88227	1.34329	1.17549	0.702143	0.0243921	0.0802794	0.00638743	
3.1	0.000462	1	0	1.22507	0.00892749	0.959458	3.79022	5.91255	-1.91405	4.34119	3.93074	1.34508	1.19562	0.698093	0.0294472	0.109197	-0.085833	
3.2	0.000446	1	0	1.22507	0.00892749	0.985798	3.72215	5.75384	-1.91409	4.33694	3.94434	1.34483	1.2112	0.685252	0.0281824	0.107174	-0.19119	
3.3	0.000462	1	0	1.22507	0.0282043	1.02635	3.72215	5.75384	-1.91409	4.33236	3.98404	1.34176	1.19502	0.660437	0.0302386	0.12269	-0.353414	
3.4	0.000454	1	0	1.22507	0.0282043	1.03669	3.64466	5.55083	-1.92586	4.32271	3.98003	1.34149	1.21332	0.64383	0.0291306	0.118872	-0.394759	
3.5	0.000456	1	0	1.22507	0.058469	1.07021	3.64466	5.55083	-1.92586	4.33447	3.98623	1.3414	1.22645	0.643811	0.0358543	0.102011	-0.5	
3.6	0.000706	1	0	1.22507	0.058469	1.07169	3.55613	5.35599	-1.93174	4.33304	3.96934	1.34183	1.2357	0.643764	0.0338013	0.0877086	-0.5	
3.7	0.000745	1	0	1.22507	0.0912991	1.11407	3.55613	5.35599	-1.93174	4.33655	3.98847	1.34086	1.23828	0.643677	0.0324901	0.0942011	-0.5	
3.8	0.000629	1	0	1.22507	0.0912991	1.11447	3.48085	5.14686	-1.942	4.74358	0.210314	-0.186182	0.127521	0.03	0	0	-0.5	
