time	tictoc	state	task counter	tube width	phi des	v ropod odom	v ropod cmd	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
5	0.000916	2	0	1.5	0.120627	0.335	0.335	2.92805	2.88986	-1.91835	0	0	0	0	0	0	0	0	
5.1	0.000962	2	0	1.5	0.116007	0.335	0.335	2.92051	2.85722	-1.91456	0	0	0	0	0	0	0	0	
5.2	0.000953	2	0	1.5	0.110525	0.335	0.335	2.90129	2.82565	-1.92311	0	0	0	0	0	0	0	0	
5.3	0.000946	2	0	1.5	0.138314	0.335	0.335	2.89382	2.793	-1.91911	0	0	0	0	0	0	0	0	
5.4	0.000877	2	0	1.5	0.131949	0.335	0.435	2.88644	2.76032	-1.91514	0	0	0	0	0	0	0	1	
5.5	0.00095	3	0	1.5	0.125648	0.435	0.469	2.87773	2.72232	-1.9108	0	0	0	0	0	0	0	0.34	
5.6	0.000879	3	0	1.5	0.119041	0.469	0.469	2.86413	2.70462	-1.91716	0	0	0	0	0	0	0	0	
5.7	0.000882	3	0	1.5	0.141043	0.469	0.469	2.8545	2.65872	-1.91107	0	0	0	0	0	0	0	0	
5.8	0.001003	3	0	1.5	0.130173	0.469	0.469	2.84501	2.61279	-1.9051	0	0	0	0	0	0	0	0	
5.9	0.000955	3	0	1.5	0.119697	0.469	0.469	2.83565	2.56683	-1.89928	0	0	0	0	0	0	0	0	
6	0.000976	3	0	1.5	0.109642	0.469	0.469	2.83644	2.55727	-1.90794	0	0	0	0	0	0	0	0	
6.1	0.000878	3	0	1.5	0.117262	0.469	0.469	2.82711	2.5113	-1.90196	0	0	0	0	0	0	0	0	
6.2	0.000983	3	0	1.5	0.107067	0.469	0.469	2.81775	2.46533	-1.89627	0	0	0	0	0	0	0	0	
6.3	0.000976	3	0	1.5	0.0977086	0.469	0.469	2.80837	2.41937	-1.89085	0	0	0	0	0	0	0	0	
6.4	0.000996	3	0	1.5	0.0890879	0.469	0.469	2.78793	2.37304	-1.89528	0	0	0	0	0	0	0	0	
6.5	0.000934	3	0	1.5	0.105826	0.469	0.469	2.77861	2.32706	-1.88984	0	0	0	0	0	0	0	0	
6.6	0.001017	3	0	1.5	0.0967853	0.469	0.469	2.76928	2.2811	-1.88465	0	0	0	0	0	0	0	0	
6.7	0.000984	3	0	1.5	0.0884444	0.469	0.469	2.75992	2.23513	-1.87971	0	0	0	0	0	0	0	0	
6.8	0.000979	3	0	1.5	0.0807667	0.469	0.469	2.73504	2.17676	-1.89136	0	0	0	0	0	0	0	0	
6.9	0.000935	3	0	1.5	0.107865	0.469	0.469	2.72548	2.13084	-1.88632	0	0	0	0	0	0	0	0	
7	0.000916	3	0	1.5	0.0995616	0.469	0.469	2.716	2.08491	-1.88142	0	0	0	0	0	0	0	0	
7.1	0.00091	3	0	1.5	0.0916397	0.469	0.469	2.70638	2.039	-1.87688	0	0	0	0	0	0	0	0	
7.2	0.000975	3	0	1.5	0.0846121	0.469	0.469	2.67835	1.97514	-1.89581	0	0	0	0	0	0	0	0	
7.3	0.000978	3	0	1.5	0.124585	0.469	0.469	2.66864	1.92926	-1.89072	0	0	0	0	0	0	0	0	
7.4	0.000979	3	0	1.5	0.115819	0.469	0.369	2.65897	1.88337	-1.88581	0	0	0	0	0	0	0	-1	
7.5	0.00098	4	0	1.5	0.107528	0.369	0.269	2.6505	1.84283	-1.88159	0	0	0	0	0	0	0	-1	
7.6	0.000993	4	0	1.5	0.100515	0.269	0.201	2.6262	1.78122	-1.89851	0	0	0	0	0	0	0	-0.68	
7.7	0.000974	4	0	1.5	0.13602	0.201	0.201	2.62163	1.75851	-1.89569	0	0	0	0	0	0	0	0	
7.8	0.000911	4	0	1.5	0.130698	0.201	0.201	2.61756	1.73883	-1.89339	0	0	0	0	0	0	0	0	
7.9	0.000939	4	0	1.5	0.126511	0.201	0.201	2.61349	1.71915	-1.89114	0	0	0	0	0	0	0	0	
8	0.000923	4	0	1.5	0.122462	0.201	0.201	2.58266	1.6016	-1.90273	0	0	0	0	0	0	0	0	
8.1	0.000991	4	0	1.5	0.142791	0.201	0.201	2.57865	1.58191	-1.90024	0	0	0	0	0	0	0	0	
8.2	0.000982	4	0	1.5	0.138045	0.201	0.201	2.57462	1.56222	-1.89782	0	0	0	0	0	0	0	0	
8.3	0.000986	4	0	1.5	0.133527	0.201	0.201	2.57069	1.54251	-1.89535	0	0	0	0	0	0	0	0	
8.4	0.000951	4	0	1.5	0.128847	0.201	0.201	2.5668	1.52279	-1.89288	0	0	0	0	0	0	0	0	
8.5	0.00096	4	0	1.5	0.12421	0.201	0.201	2.563	1.50305	-1.89038	0	0	0	0	0	0	0	0	
8.6	0.000914	4	0	1.5	0.119477	0.201	0.134	2.53789	1.43543	-1.89328	0	0	0	0	0	0	0	-0.67	
8.7	0.000842	5	0	1.5	0.276557	0.134	0.134	2.53545	1.41921	-1.8906	0	0	0	0	0	0	0	0	
8.8	0.00098	5	0	1.5	0.433636	0.134	0.234	2.53394	1.40594	-1.888	0	0	0	0	0	0	0	1	
8.9	0.000952	5	0	1.5	0.510336	0.234	0.334	2.5321	1.38728	-1.88413	0	0	0	0	0	0	0	1	
9	0.000915	5	0	1.5	0.544491	0.334	0.335	2.53074	1.35865	-1.87702	0	0	0	0	0	0	0	0.01	
9.1	0.000844	5	0	1.5	0.675749	0.335	0.335	2.53305	1.32555	-1.86553	0	0	0	0	0	0	0	0	
9.2	0.000909	5	0	1.5	0.825734	0.335	0.335	2.53981	1.2931	-1.85053	0	0	0	0	0	0	0	0	
9.3	0.000846	5	0	1.5	0.96985	0.335	0.335	2.52616	1.30529	-1.87965	0	0	0	0	0	0	0	0	
9.4	0.000713	5	0	1.5	0.91489	0.335	0.335	2.53847	1.27443	-1.85971	0	0	0	0	0	0	0	0	
9.5	0.000831	5	0	1.5	1.04861	0.335	0.335	2.54278	1.24413	-1.84805	0	0	0	0	0	0	0	0	
9.6	0.000917	5	0	1.5	1.18576	0.335	0.335	2.57385	1.20729	-1.81515	0	0	0	0	0	0	0	0	
9.7	0.000985	5	0	1.5	1.32508	0.335	0.335	2.59707	1.18367	-1.78835	0	0	0	0	0	0	0	0	
9.8	0.000781	5	0	1.5	1.41042	0.335	0.335	2.59888	1.1705	-1.77995	0	0	0	0	0	0	0	0	
9.9	0.000976	5	0	1.5	1.43968	0.335	0.335	2.62745	1.1474	-1.74728	0	0	0	0	0	0	0	0	
10	0.000894	5	0	1.5	1.41663	0.335	0.335	2.65282	1.12534	-1.71866	0	0	0	0	0	0	0	0	
